date;text;
18.08.17 13:08;@ republic @ premasridevi ...This report might helpful in your content. # LoveJihadTapes https://twitter.com/JagranNews/status/898500950230392832 …;
18.08.17 13:04;So @ ndtv claims it's not fact but a mere term coined by Hindu right-wingers. NDTV twisting facts#LoveJihad # LoveJihadTapes @ pGurus1pic.twitter.com/HtqKA4wYeF;
18.08.17 12:05;nono she shud be in syria for a better life. # LoveJihadTapes;
18.08.17 11:56;Why doesn't she file an affidavit in SC who is hearing the # LoveJihad case? # LoveJihadTapes https://twitter.com/republic/status/898150392298590208 …;
18.08.17 11:06;Retweeted Vinod Kumar ( @ vinewz): # LoveJihadTapes Politically & religious & socially violent religion wants to... http://fb.me/8Z2ahATdF;
18.08.17 11:06;when u dont hv enough work in Bollywood you have to write this kind of shit on Twitter neither people will forget u. # LoveJihadTapes;
18.08.17 11:06;Retweeted Vinod Kumar ( @ vinewz): # LoveJihadTapes Yes , all these hindu women are lured by charm & money... http://fb.me/1cgwVL7fv;
18.08.17 11:01;O my gwaad..they are gonna undergo # FGM & trained to slit throat too..!? # LoveJihadTapes ..!? https://twitter.com/sabyasachi462/status/898466263009067008 …;
18.08.17 10:47;Would North Korean Media @ TimesNow @ republic will run this video under # LoveJihadTapes ??? https://twitter.com/asadowaisi/status/898190117742837760 …;
18.08.17 10:03;# BarcelonaTerrorAttack few muslim leaders hesitate to condemn drastic acts @ asadowaisi @ Drrehmani # HinduGirlsForISIS # LoveJihadTapes;
18.08.17 09:53;@ republic Should have Asked this # BindiBrigade Jihadi if GROOMING GANGS of UK too wer a Figment of Imagination of @ BJP4India # LoveJihadTapes pic.twitter.com/efdHZfAFIM;
18.08.17 09:39;# LoveJihadTapes secular india as called by congress but communal india wen ghar wapsi takes place pic.twitter.com/ImnKBL34JO;
18.08.17 09:23;# LoveJihadTapes जिहाद का मतलब अल्लाह के लिए संघर्ष करना उसके बताये मार्ग पर चलना। # LordKabir ने भी यही कहा। देखिये श्रद्धा MH1 पर 2:10 PM;
18.08.17 09:08;MUSLIM HUSBANDS AND HINDU WIVES # LoveJihadTapes # HinduGirlsForISIS @ republic @ TimesNow @ navikakumar @ RShivshankar http://creative.sulekha.com/muslim-husbands-and-hindu-wives_591006_blog …;
18.08.17 09:02;# VishalSikka resigns as Infosys MD and CEO and I just saw # LoveJihadTapes by Republic. pic.twitter.com/iCiww4txmr;
18.08.17 08:39;# HinduGirlsForISIS # LoveJihadTapes And now # MuslimGirlsForRSS @ republic @ TimesNow @ fayedsouza @ sadhavi @ bainjal http://www.muslimmirror.com/eng/hundreds-of-muslim-girls-being-forced-into-converting-to-hinduism-in-up …;
18.08.17 08:17;# LoveJihadTapes का रेट कार्ड। pic.twitter.com/dHB2ocoWtw;
18.08.17 08:12;The extent of the appeasement the Samajwadi party practices is going to finish off the country one day: Dr. Sambit Patra # LoveJihadTapes;
18.08.17 07:37;Marrying & choosing a religion is a matter of choice for anyone but not at the cost of becoming a sex slave. # LoveJihad # LoveJihadTapes;
18.08.17 07:35;Apply for the consultant post when Ministry of Home Affairs invite applications @ republic ! # LoveJihadTapes https://twitter.com/republic/status/898233545193209856 …;
18.08.17 07:21;So Kerala has reports of # LoveJihadTapes and Female genital mutation this week Media doesn't care becoz it isn't UP http://www.thenewsminute.com/article/female-genital-cutting-being-practiced-kerala-investigation-66891 …;
18.08.17 07:14;@ RanaAyyub ? नहीं यार डायन है बिल्कुल चप्पल सहित खा जाती है। # LoveJihadTapes # LoveJihadNailed;
18.08.17 06:14;Love Jihad cases should be probed thoroughly. It should not be seen as a communal issue. It's indeed a national one. # LoveJihadTapes;
18.08.17 06:03;Shahi Imam publicly calls for Love Jihad, Indian media doesn't report it # LoveJihadTapes http://www.opindia.com/2014/12/shahi-imam-publicly-calls-for-love-jihad-indian-media-doesnt-report-it/amp/ …;
18.08.17 05:58;T84 #Keralaके#LoveJihadTapes मामले मे न्यायालय ने कहा कि, # LoveJihad ऑनलाइन#BlueWhaleGame जैसा है, दोनो मे ही अंतिम लक्ष्य तय कर काम होता है।pic.twitter.com/Y0QD5beU9m;
18.08.17 04:59;My take on # LoveJihad # LoveJihadTapes in @ VishwavaniNews https://www.vishwavani.news/prativada-18-8-2019/ …pic.twitter.com/ukHMTNy2yE;
18.08.17 04:52;# LoveJihad is a reality and exist and if effecting a major section of society by brainwashing,radicalizing,luring. # LoveJihadTapes;
18.08.17 04:30;Hindus are lured of lucre and glamour in 'rich Muslim countries'wheras converted Muslims are reminded of theirHindu lineage#LoveJihadTapes;
18.08.17 04:25;One of the reason why this kind of love jihad not comes in to lime light because Muslim leauge is ruling with INC in Kerala # LoveJihadTapes;
18.08.17 04:08;# LoveJihadTapes https://www.youtube.com/watch?v=bYf8mI1_ohY&feature=share …;
18.08.17 04:04;@ narendramodi) # AmazonExclusive # NeethanaeTeaser # LoveJihadTapes # ENGvsWI # JoinCYSSRJ # Mersal # Kaala # HappyBirthdayJantaKaCM # IAmSecurepic.twitter.com/eemZ8HaplT;
18.08.17 03:57;# LoveJihadTapes Panelist & their types who deny the existence of love Jihad even after concrete proof r culprits of defame of own sect.;
18.08.17 03:56;# LoveJihadTapes # HinduGirlsForISIS Peacefuls threatening the Kerala HC over the annulment of Love Jihad marriage of Akhila. # ghazwa-e-hindhttps://twitter.com/SanatanVaidik/status/896240148903411712 …;
18.08.17 03:31;101% agree # LoveJihadTapes;
